id,name,product_group_name,store_name,location,asset_number,serial_number,weight,replacement_charge,quantity_held,asset_replacement_value,purchase_price,effective_date,written_off,sold
1021,100m 4 Core ST-ST Drum,Cable,LDMtv,"",T16-042,T16-042,3.0,473.0,1.0,473.0,473.0,2024-12-03 00:00:00 UTC,,
1463,100m Green XLR Drum,Cable,LDMtv,"",T16-028,"",5.0,250.0,1.0,250.0,250.0,2024-12-19 00:00:00 UTC,,
1464,100m Green XLR Drum,Cable,LDMtv,"",T16-030,"",5.0,250.0,1.0,250.0,250.0,2024-12-19 00:00:00 UTC,,
73,10m SMPTE Cable,Cable,LDMtv,"",5369020/1,"",3.0,639.0,1.0,639.0,639.0,2023-08-24 23:00:00 UTC,,
74,10m SMPTE Cable,Cable,LDMtv,"",5369022,"",3.0,639.0,1.0,639.0,639.0,2023-08-24 23:00:00 UTC,,
1461,150m Green XLR Drum,Cable,LDMtv,"",T16-029,"",10.0,425.0,1.0,425.0,425.0,2024-12-19 00:00:00 UTC,,
1462,150m Green XLR Drum,Cable,LDMtv,"",T16-031,"",10.0,425.0,1.0,425.0,425.0,2024-12-19 00:00:00 UTC,,
407,25m SMPTE Cable,Cable,LDMtv,"","","",5.0,939.0,5.0,4695.0,939.0,2023-08-26 23:00:00 UTC,,
1842,FCT-FC & FCT-FCLB SMPTE Cable Checker,Cable,LDMtv,"",LDM1108,OCJAA-00233,1.55,0.0,1.0,0.0,0.0,2020-06-24 23:00:00 UTC,,
1843,FCT-FC & FCT-FCLB SMPTE Cable Checker,Cable,LDMtv,"",LDM1111,OCJAB-00233,1.55,0.0,1.0,0.0,0.0,2020-06-24 23:00:00 UTC,,
671,IEC Cable,Cable,LDMtv,Grey Bins,"","",0.1,9.5,40.0,380.0,5.0,2023-11-19 00:00:00 UTC,,
1341,Large Studio Desk,Cable,LDMtv,"","","",0.0,699.0,5.0,3495.0,699.0,2020-12-17 00:00:00 UTC,,
1274,Opti Quad to 4 ST cable,Cable,LDMtv,"",5368938,"",2.0,400.0,1.0,400.0,400.0,2024-12-16 00:00:00 UTC,,
1273,Opti Quad to 4 ST cable,Cable,LDMtv,"",5369040,"",2.0,400.0,1.0,400.0,400.0,2024-12-16 00:00:00 UTC,,
1276,Opti Quad to 4 ST cable,Cable,LDMtv,"",5369053,"",2.0,400.0,1.0,400.0,400.0,2024-12-16 00:00:00 UTC,,
1275,Opti Quad to 4 ST cable,Cable,LDMtv,"",5369054,"",2.0,400.0,1.0,400.0,400.0,2024-12-16 00:00:00 UTC,,
2017,Power Supply,Cable,LDMtv,"","","",0.0,0.0,20.0,0.0,0.0,2025-05-28 23:00:00 UTC,,
1366,1TB Extreme Pro Portable SSD,Cameras,LDMtv,"",3144,2231F7403042,0.15,121.99,1.0,121.99,121.99,2024-12-17 00:00:00 UTC,,
1367,1TB Extreme Pro Portable SSD,Cameras,LDMtv,"",3145,2231F7402911,0.15,121.99,1.0,121.99,121.99,2024-12-17 00:00:00 UTC,,
1368,1TB Extreme Pro Portable SSD,Cameras,LDMtv,"",3146,2231F7400133,0.15,121.99,1.0,121.99,121.99,2024-12-17 00:00:00 UTC,,
292,ATEM Talkback Converter 4K,Cameras,LDMtv,V16,3069,10108217,2.3,2399.0,1.0,2399.0,2399.0,2023-08-24 23:00:00 UTC,,
1347,BH50-P54 Lens,Cameras,LDMtv,"",3128,"",1.0,440.0,1.0,440.0,440.0,2024-12-17 00:00:00 UTC,,
395,Box Lens,Cameras,LDMtv,"","","",26.6,100000.0,0.0,0.0,0.0,2024-10-09 23:00:00 UTC,,
284,Camera Fiber Converter,Cameras,LDMtv,K3,3083,10250457,1.85,2777.0,1.0,2777.0,2777.0,2023-08-24 23:00:00 UTC,,
1817,Camera Fiber Converter,Cameras,LDMtv,"",3203,11171338,1.85,2777.0,1.0,2777.0,2777.0,2020-05-11 23:00:00 UTC,,
1818,Camera Fiber Converter,Cameras,LDMtv,"",3220,11212657,1.85,2777.0,1.0,2777.0,2777.0,2020-05-11 23:00:00 UTC,,
568,Clip-On 4 Transmitter,Cameras,LDMtv,A2,LDM1795,201,1.1,8661.0,1.0,8661.0,8661.0,2024-08-15 23:00:00 UTC,,
569,Clip-On 4 Transmitter,Cameras,LDMtv,A2,LDM1796,8141262,1.1,8661.0,1.0,8661.0,8661.0,2024-08-15 23:00:00 UTC,,
808,Commentary Camera Kit,Cameras,LDMtv,K4,5368892,5368892,8.2,289.0,1.0,289.0,289.0,2024-11-29 00:00:00 UTC,,
1335,CV504,Cameras,LDMtv,"",LDM1397,15522001DK0372,0.3,456.0,1.0,456.0,456.0,2024-12-17 00:00:00 UTC,,
34,Design URSA Viewfinder,Cameras,LDMtv,"",3021,9727371,0.65,1339.0,1.0,1339.0,1339.0,2023-08-23 23:00:00 UTC,,
35,Design URSA Viewfinder,Cameras,LDMtv,L3,3022,9729511,0.65,1339.0,1.0,1339.0,1339.0,2023-08-23 23:00:00 UTC,,
